,Rank,,,Installations,,
State,2018,2019,Q2 2020,2018,2019,Q2 2020
TX,2,3,1,"1,007","1,382",974
FL,4,2,2,865,"1,396",908
CA,1,1,3,"3,236","3,129",637
SC,13,7,4,,,
NY,6,8,5,,,
OR,17,18,6,,,
AZ,9,4,7,,,
NJ,8,9,8,,,
MA,10,14,9,,,
IL,33,21,10,,,
VA,14,19,11,,,
MN,7,12,12,,,
CT,16,16,13,,,
WY,19,49,14,,,
HI,18,11,15,,,
NV,5,10,16,,,
CO,11,13,17,,,
RI,23,17,18,,,
MD,15,15,19,,,
PR + US Territories,37,37,20,,,
PA,25,25,21,,,
UT,26,20,22,,,
NC,3,6,23,,,
NM,20,22,24,,,
AR,12,36,25,,,
MO,31,26,26,,,
IA,36,32,27,,,
IN,27,23,28,,,
MI,30,31,29,,,
OH,29,27,30,,,
WA,24,30,31,,,
WI,41,29,32,,,
ID,22,33,33,,,
NH,42,34,34,,,
GA,39,5,35,,,
LA,38,42,36,,,
ME,34,38,37,,,
VT,21,28,38,,,
DC,35,39,39,,,
KS,45,35,40,,,
OK,40,47,41,,,
DE,43,41,42,,,
MT,48,46,43,,,
KY,47,44,44,,,
AK,49,45,45,,,
NE,46,40,46,,,
WV,50,48,47,,,
MS,44,43,48,,,
AL,28,50,49,,,
SD,52,51,50,,,
TN,32,24,51,,,
ND,51,52,52,,,
